We can apply a similar logic to best states -- for consistency we apply the same
ordering and logic to states as hospitals.

state	ms	ss	num_proc
CA	75.99982439477293	59.96652516055925	13,667
TX	70.76699499299959	55.235238986825856	12,183
FL	72.9499105124894	53.45358621266665	8,381
NY	76.23425787881656	67.11659824885562	7,391
PA	72.07691436353846	51.468053932872785	7,065
IL	70.05020420507135	52.32949563890747	6,856
OH	70.5779218811577	49.87747522689979	6,554
MI	69.70572349776283	52.18063087171575	4,962
GA	71.7481644682247	55.153950792894875	4,767
IN	68.97310133469811	48.7216961272008	4,569
